text;atc_codes;meddra_codes;class
Cymbalta Bon finalement j'ai revue mon médecin cette après midi et je vais prendre mon Cymbalta le soir au lieu du matin car comme elle m'expliquait dans mon cas il semble que je métabolise très rapidement la sérotonine et c'est ça qui fait que je m'endort et que je dort mal la nuit car il y a 2 molécules dans le Cymbalta la sérotonine et la noradrénaline soit l'humeur et l'énergie En le prenant le soir l'effet sédatif devrait passer pendant la nuit et l effet de la noadrénaline le jour je devrait me sentir moins fatigué le jour Ont essaie ont verra bien elle est très a l'écoute ma doc je l'Aime beaucoup elle cherche sans arrêt a ce que c est patient soit le mieux possible Voilà pour ma rencontre aujourd'hui ;10041011;N06AX21;non
J 1 et caetera Bonjour Sylvie je prend 60 à 13h30 60 à 15h30 et 20 à 17h30 craving vers 17h mais le baclo me déprime trop je peux plus rien faire;;;non
Déçue baclo pipo inefficace sans volonté Merci à tous mais plus je prends du baclo et plus je suis dépressive je bois et plus je pleure j'ai besoin d'aide merci;;;non
CYMBALTA ME TUE  Bonsoir Pour ma part je prends le Cymbalta depuis mars 2009 et j'en suis très satisfait J'ai eu quelques effets secondaires dont l'appétit coupé au début mais très supportables Malheureusement personne ne réagit de la même façon à un AD et son effet peut être très variable d'un patient à l'autre Le Cymbalta étant assez énergisant tu as intérêt à le prendre plutôt le matin que le soir J'ai longtemps pris le Cymbalta dosé à 60 mg jour mais depuis quelques mois je suis redescendu à 30 mg jour et je me sens très bien comme ça Bon courage Depuis des années sur les forums médicaments des individus malveillants délivrent des informations fausses partiellement fausses ou tronquées Confrontez les toujours avec celles de votre médecin ou de votre pharmacien et préférez leurs conseils Les photos de mes voyages Amérique du Sud Canada New York c'est ici Visitez aussi mon blog sur l'Argentine et le Chili;;N06AX21;non
marc2marseille hbb a écrit J'ai souvent lu le médecin du forum écrivant qu'on met bien des tracas sur le dos du baclofène J'espère que vous allez retrouver votre forme très rapidement surtout si vous tenez bon et ne ressentez plus de craving Marc hbbMerci pour ces encouragements Même si les EI sont durs à supporter Muscles des jambes faibles marche chancelante impression de perte d'équilibre Tremblements dans les mains comme des décharges électriques écriture chancelante J'en suis à 11 jours sans une goutte d'alcool Pourtant j'ai pas mal de situation anxiogène dans ma vie en ce moment Au plaisir de vous lire hbb Marc ;10050073;;non
Mon espoir de guérison Bonsoir Quelques nouvelles L'effet constaté à 240 a disparu Pareil à 250 et 260 Et je ne peux pas augmenter plus car mon médecin refuse de prescrire au delà de 250 Donc je bois de nouveau beaucoup Cependant il a enfin accepté de me prescrire du théralène Du coup j'ai abandonné les anxiolytiques et leurs inconvénients et mon sommeil est de meilleur qualité même si toujours très léger et ponctué de réveils fréquents Merci de me l'avoir conseillé Autre chose j'ai fait la liste de quelques changements de ces derniers mois et je me demandais lesquels pouvaient être attribués au baclofène épisodes maniaques au coucher état dépressif odorat décuplé audition affectée Portez-vous bien ;;;non
Quand matin midi soir prenez vous Cymbalta  on m'a changé d'AD je prends du quitaxon et j'ai arreté le cymbalta je vais mieux sauf qu'avec le cymbalta je maigrissais alors que maintenant j'ai tendance à manger plus ;;N06AA12 N06AX21;non
tatice est ce possible  Bonjour à tousAlors je me lance pour une grande tartine Apres un an et 3mois de baclo parsemés d'embuches des dérapages des glissades j'ai enfin trouvé l'indifférence Apres la dernière répartition de Change que je ne remercierais jamais assez pour sa patience et sa disponibilité je suis donc à 310 mg depuis environ 2 mois je pense en 4 prises Je vous laisse le soin si vous êtes curieux de remonter mon sujet pour voir tous les E S que j'ai du affronterVaillamment eh oui quand même même si parfois le moral n'a pas toujours été là comme dirait Bocly ça a fini par le faire pour moi aussi Mais comme nous ne sommes pas au pays des bisounours ce n'est pas parce qu'il n'y a plus d'alcool qu'il n'y a plus de problèmesLe suivi psy que j'ai entamé ne me donne pas bcp de résultats jusqu'à maintenant je me prends en pleine tronche des crises d'angoisse que je réglais avant avec qques verres de ma boisson préférée Je souffre d'anxiété généralisée mais j'espère vraiment trouver rapidement une solution à ça D'autre part j'ai pris un RDV avec un service pneumo pour vérifier que je n'ai pas des pb d'apnée du sommeil car je me réveille toutes les nuits autour de 1h ou 2 du matin et après je regarde l'heure 2 ou 3 fois par heure Comme je suis en surpoids grave et que je ronfle énormément je ne serais pas étonnée d'être apnéique À propos de poids j'ai remplacé depuis quelques temps le craving alcool de fin de journée par des pulsions de bouffe et surtout de sucre voila qui n'arrange pas mes relations avec ma balance j'espère que c'est transitoire En ce qui concerne mes douleurs la tendinite d'achille est en nette amélioration sans être toutefois guérie par contre je souffre des 2 genoux et au moins pour un il se profile une opération assez importante On n'en est pas encore là et je retourne enfin au travail lundi prochain Voila je remercie tous ceux et toutes celles qui m'ont soutenue dans ce long parcours et je vais pouvoir moi aussi maintenant soutenir tous ceux qui sont dans la galère et qui peinent à arriver au but Une pensée particulière à Gifran et Solène Je vous embrasse tous très fort et vous dis à bientôt Béa;10041234 10002866;;non
J'ai réussi à passer le bac Indifférente Bonne année tout le monde Un grand bravo à baclofène org j'avais pas vu… des plombes que je ne suis pas venue faire un tour Grande tristesse d'apprendre le décès de Pascal Gramme il a rejoint son pote Olivier là haut Qu'est ce qu'ils doivent s'en dire des choses La vie s'écoule continue avec ses petits et gros problèmes ses petites et grandes joies La vie quoi Pas très en verve La Julie aujourd'hui Je me pose à nouveau une question à propos du bac Lors de ma montée j'ai mangé moins qu'avant et j'ai commencé à maigrir Super Forcément aussi que la perte de poids est due à l'arrêt presque total les petites cuillères de consommation de vin Aujourd'hui après presque 2 ans d'indifférence je continue à manger très peu tellement peu que je pèse 54 kilos pour un mètre 73 Oui le bac guéri de la boulimie compulsive dont je n'étais pas malade Merde Dans 5 kilos en moins je passe pour famélique Descendre le bac Non Déjà essayé retour de manivelle Un chemin Vous embrasse fort;10048061;;non
quest ce que vous prenez comme ad vous  bonjour a tousvoila je vous expose mon probleme j'ai prie de la proxetine pendant plusieur mois ca allait plutot bien avec mes du jour au lendemain il n'a plus fait son effet je sentais que je replonger dans la depression le doc ma alors dit de prendre du cymbalta hors cela va faire maintenant 5 mois et tjr c effet secondaire qui perciste nausee desordre intestinal mal a l'estomac insomnie cauchemard tjr enerve et maintenant je pleur de plus en plus ca c quand meme attenuer par rapport au debut mes bon il son quand meme bien la encore c effet alors entre temps mon doc ma donner de l'athimyl mes la encore pire moi qui me plain de pas dormir la j' ai pas mieux dormi la nuit mes le lendemain par contre dans le brouillard total un vrai zombie j'ai donc decider de re prendre cymbalta le probleme est que j'ai l impression que mon doc se casse pas trop la tete pour me chercher un bon ad et la j'en ai vraiment marre merci de m'avoir lupourriez vous me dire quel sont vos ad vos parcours avecvos effet secondaire ou au contraire ce qui est benefique enfin pourriez vous me repondre merci Message édité par titecalinette le 17-06-2009 à 19 34 07;10047886;N06AX21;non
